판매처,위도,경도
(본사)강창규,37.56744,127.082286
(본사)김경호,37.56744,127.082286
(본사)김아람,37.56744,127.082286
(본사)김요한,37.56744,127.082286
(본사)유승현,37.56744,127.082286
(본사)이근용,37.56744,127.082286
(본사)이상연,37.56744,127.082286
(직영)광교법조타운점,37.292358,127.067489
(직영)광교월드마크점,37.291913,127.048377
(직영)구의점,37.537997,127.088672
(직영)녹번역점,37.600682,126.934432
(직영)동대문역점,37.5719,127.010633
(직영)마석점,37.65241,127.306118
(직영)마천점,37.496874,127.151986
(직영)미사강변점,37.557877,127.188127
(직영)미사직영점,37.568981,127.18455
(직영)상봉점,37.592461,127.086296
(직영)서울대점,37.470621,126.936659
(직영)은평포수마을점,37.601209,126.926904
(직영)응암역점,37.598702,126.914876
(직영)중곡점,37.56744,127.082286
(직영)하남점,37.551209,127.20843
(직영)화정역점,37.632697,126.832567
1호선통신 (서울 영등포구 신길동),37.513796,126.926907
88통신 (서울 영등포구 대림동),37.48881,126.899565
CJ폰뱅크 (서울 성동구 행당동),37.557758,127.030666
H텔레콤 (경기 남양주 별내면),37.709164,127.114302
TM브이텔레콤 (강변TM),37.535699,127.095765
TM힐링_맥스(강변TM),37.535699,127.095765
가온정보통신 (신도림TM),37.506974,126.890319
경인정보 (부천 원미구 심곡동),37.485269,126.783293
광장대리점,37.56744,127.082286
그린텔레콤 (서울 중랑구 사가정),37.579571,127.086946
글로벌 구래직영점 (경기 김포시 구래동),37.643111,126.624287
글로벌 스퀘어점 (인천 서구 청라동),37.532293,126.641659
글로벌 청라롯데마트점 (인천 서구 청라동),37.530901,126.646959
글로벌 청라본점 (인천 서구 청라동),37.532214,126.65292
글로벌모바일 스페이스점 (인천 서구 청라동),37.533881,126.645718
꾸러기통신 (경기 의왕시 포일동),37.39755,126.987441
나리 (서울 성동구 왕십리),37.561289,127.038382
남서울정보통신 (서울 관악구 신림동),37.480091,126.90282
넷피플 (서울 강서구 가양동),37.563601,126.852029
누리텔레콤 (서울 강서구 화곡동),37.532357,126.857634
뉴행복통신(서울 동작구 상도동),37.503034,126.936347
대광모바일 (부천D) (인천 동구 화평동),37.480101,126.628843
대진17호 (인천 남동구 서창동),37.426171,126.74759
대호텔레콤 (서울 도봉구 창동),37.63346,127.040249
더블와이컴퍼니 (서울 광진구 중곡동),37.563759,127.079875
도매폰 (경기 광주시 태전동),37.386228,127.23386
동네통신 (서울 광진구 중곡동),37.558598,127.087499
동북통신 (서울 영등포구 대림동),37.489038,126.899088
드루와통신 (서울 동작구 대방동),37.512694,126.930775
드림S&C (서울 중랑구 중화동),37.601716,127.080976
디비통신동백 (용인 기흥구 동백),37.270864,127.152897
디비통신언남 (용인 기흥구 언남동),37.294578,127.117807
디와이텔레콤 (서울 노원구 하계동),37.64026,127.072739
따르릉_고덕점 (서울 강동구 고덕동),37.557906,127.162626
따르릉_광명점 (경기 광명시 소하동),37.448469,126.884053
따르릉_구리점 (경기 구리시 수택동),37.591556,127.146209
따르릉_노원역점 (서울 노원구 상계동),37.656399,127.062218
따르릉_다산점 (경기 남양주시 다산동),37.625202,127.154932
